日時,402A.T,186A.T,Astra4_mean
2026-07-09 09:05:00+09:00,-0.0019762845849802257,0.0,-0.0009881422924901129
2026-07-09 09:10:00+09:00,-0.007905138339920903,0.002795899347623587,-0.002554619496148658
2026-07-09 09:15:00+09:00,-0.007905138339920903,0.012115563839701693,0.002105212749890395
2026-07-09 09:20:00+09:00,-0.005928853754940677,0.007455731593662529,0.0007634389193609259
2026-07-09 09:25:00+09:00,0.0,0.009319664492078328,0.004659832246039164
2026-07-09 09:30:00+09:00,-0.005928853754940677,0.009319664492078328,0.0016954053685688253
2026-07-09 09:35:00+09:00,0.0019762845849802257,0.025163094128611396,0.013569689356795811
2026-07-09 09:40:00+09:00,0.0039525691699604515,0.03541472506989751,0.019683647119928982
2026-07-09 09:45:00+09:00,0.0039525691699604515,0.03914259086672889,0.02154758001834467
2026-07-09 09:50:00+09:00,0.0019762845849802257,0.040074557315936676,0.02102542095045845
2026-07-09 09:55:00+09:00,0.005928853754940677,0.04473438956197584,0.02533162165845826
2026-07-09 10:00:00+09:00,0.011857707509881354,0.049394221808015004,0.03062596465894818
2026-07-09 10:05:00+09:00,0.011857707509881354,0.04659832246039142,0.029228014985136386
2026-07-09 10:10:00+09:00,0.01383399209486158,0.054054054054053946,0.03394402307445776
2026-07-09 10:15:00+09:00,0.007905138339920903,0.04473438956197584,0.02631976395094837
2026-07-09 10:20:00+09:00,0.0039525691699604515,0.04193849021435225,0.022945529692156352
2026-07-09 10:25:00+09:00,0.005928853754940677,0.04659832246039142,0.026263588107666047
2026-07-09 10:30:00+09:00,-0.0039525691699604515,0.03821062441752088,0.017129027623780213
2026-07-09 10:35:00+09:00,-0.0019762845849802257,0.04193849021435225,0.019981102814686014
2026-07-09 10:40:00+09:00,0.0,0.04473438956197584,0.02236719478098792
2026-07-09 10:45:00+09:00,0.0019762845849802257,0.05032618825722279,0.02615123642110151
2026-07-09 10:50:00+09:00,-0.0019762845849802257,0.04380242311276783,0.020913069263893802
2026-07-09 10:55:00+09:00,-0.005928853754940677,0.032618825722273925,0.013344985983666624
2026-07-09 11:00:00+09:00,-0.0039525691699604515,0.03075489282385835,0.013401161826948949
2026-07-09 11:05:00+09:00,-0.0039525691699604515,0.033550792171481936,0.014799111500760742
2026-07-09 11:10:00+09:00,0.0,0.033550792171481936,0.016775396085740968
2026-07-09 11:15:00+09:00,0.0019762845849802257,0.041006523765144465,0.021491404175062345
2026-07-09 11:20:00+09:00,0.0,0.03727865796831309,0.018639328984156545
2026-07-09 11:25:00+09:00,-0.0039525691699604515,0.034482758620689724,0.015265094725364636
2026-07-09 11:30:00+09:00,-0.0039525691699604515,0.032618825722273925,0.014333128276156737
2026-07-09 12:30:00+09:00,-0.0019762845849802257,0.02143522833178002,0.009729471873399897
2026-07-09 12:35:00+09:00,-0.0019762845849802257,0.017707362534948645,0.00786553897498421
2026-07-09 12:40:00+09:00,0.0,0.017707362534948645,0.008853681267474323
2026-07-09 12:45:00+09:00,-0.0019762845849802257,0.013979496738117492,0.006001606076568633
2026-07-09 12:50:00+09:00,0.0039525691699604515,0.01491146318732528,0.009432016178642866
2026-07-09 12:55:00+09:00,-0.0039525691699604515,0.013979496738117492,0.00501346378407852
2026-07-09 13:00:00+09:00,-0.005928853754940677,0.01491146318732528,0.004491304716192301
2026-07-09 13:05:00+09:00,-0.007905138339920903,0.01584342963653307,0.003969145648306083
2026-07-09 13:10:00+09:00,-0.005928853754940677,0.01491146318732528,0.004491304716192301
2026-07-09 13:15:00+09:00,-0.007905138339920903,0.010251630941286116,0.0011732463006826066
2026-07-09 13:20:00+09:00,-0.00988142292490124,0.00838769804287054,-0.0007468624410153502
2026-07-09 13:25:00+09:00,-0.007905138339920903,0.010251630941286116,0.0011732463006826066
2026-07-09 13:30:00+09:00,-0.007905138339920903,0.013979496738117492,0.0030371791990982944
2026-07-09 13:35:00+09:00,-0.0019762845849802257,0.02236719478098781,0.010195455098003792
2026-07-09 13:40:00+09:00,0.0,0.024231127679403608,0.012115563839701804
2026-07-09 13:45:00+09:00,0.0,0.024231127679403608,0.012115563839701804
2026-07-09 13:50:00+09:00,0.0039525691699604515,0.026095060577819185,0.015023814873889818
2026-07-09 13:55:00+09:00,0.0,0.019571295433364444,0.009785647716682222
2026-07-09 14:00:00+09:00,0.0019762845849802257,0.019571295433364444,0.010773790009172335
2026-07-09 14:05:00+09:00,0.0,0.018639328984156656,0.009319664492078328
2026-07-09 14:10:00+09:00,0.0019762845849802257,0.020503261882572232,0.011239773233776229
2026-07-09 14:15:00+09:00,0.0039525691699604515,0.025163094128611396,0.014557831649285924
2026-07-09 14:20:00+09:00,0.0019762845849802257,0.02329916123019582,0.012637722907588023
2026-07-09 14:25:00+09:00,0.0039525691699604515,0.025163094128611396,0.014557831649285924
2026-07-09 14:30:00+09:00,0.0039525691699604515,0.02329916123019582,0.013625865200078136
2026-07-09 14:35:00+09:00,0.0039525691699604515,0.020503261882572232,0.012227915526266342
2026-07-09 14:40:00+09:00,0.0039525691699604515,0.02236719478098781,0.01315988197547413
2026-07-09 14:45:00+09:00,0.005928853754940677,0.02329916123019582,0.014614007492568248
2026-07-09 14:50:00+09:00,0.007905138339920903,0.024231127679403608,0.016068133009662255
2026-07-09 14:55:00+09:00,0.005928853754940677,0.025163094128611396,0.015545973941776037
2026-07-09 15:00:00+09:00,0.005928853754940677,0.02329916123019582,0.014614007492568248
2026-07-09 15:05:00+09:00,0.005928853754940677,0.024231127679403608,0.015079990717172143
